Table Name,Field Name,Field Type,Description,Example,Include,Tags,Transformation,Target Deployment,Flag,Table Reference,Field Reference,Is Primary?,Unique,Risk Status,Risk Type,Transformation1,Change Notes
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,EVENT_TYPE_CODE,VARCHAR 50,The code of the EVENT_TYPE,ERRG,No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,EVENT_TYPE_DESCRIPTION,VARCHAR 255,The description of the EVENT_TYPE,Emergency Room Registration,Yes,,INCLUSIONLIST,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,EVENT_TYPE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_DISCHARGE_TRASFER_EVENT_TYPE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION,(Key value),Yes,,,Q1 2020,,DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,,PRIMARY,Yes,Moderate,Semantics,No change,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
